text,sentiment,cleaned_tokenization,cleaned_stopwords,cleaned_stemming,cleaned_lemmatization,cleaned_stemming_plus,cleaned_lemmatization_misspell
Errr dude.... They're gone unhappy  Asked other league memeber to check  the guys are go ,negative,errr dude theyre gone unhappy asked other league memeber to check the guys are go,errr dude theyre gone unhappy asked league memeber check guys go,errr dude theyr gone unhappi ask leagu memeb check guy go,errr dude theyre gone unhappy asked league memeber check guy go,err dude theyr gone unhappi ask leagu memeb check guy go,err dude theyre gone unhappy asked league memeber check guy go
Not you again sad  ,negative,not you again sad,sad,sad,sad,sad,sad
Why would Harvey be going to prison? unhappy ,negative,why would harvey be going to prison unhappy,would harvey going prison unhappy,would harvey go prison unhappi,would harvey going prison unhappy,would harvey go prison unhappi,would harvey going prison unhappy
Missing in crying  Seaside area. ,negative,missing in crying seaside area,missing crying seaside area,miss cri seasid area,missing cry seaside area,miss cri seasid area,missing cry seaside area
Becoz if we will depend on your promoting its waste of hardwork to all team who ,negative,becoz if we will depend on your promoting its waste of hardwork to all team who,becoz depend promoting waste hardwork team,becoz depend promot wast hardwork team,becoz depend promoting waste hardwork team,becoz depend promot wast hardwork team,becoz depend promoting waste hardwork team
I thought you'll save me crying ,negative,thought youll save me crying,thought youll save crying,thought youll save cri,thought youll save cry,thought youll save cri,thought youll save cry
major waffle cravings right now sad ,negative,major waffle cravings right now sad,major waffle cravings right sad,major waffl crave right sad,major waffle craving right sad,major waffl crave right sad,major waffle craving right sad
cant speak japanese ::(,negative,cant speak japanese,cant speak japanese,cant speak japanes,cant speak japanese,cant speak japanes,cant speak japanese
how can people do stuff like this unhappy  ,negative,how can people do stuff like this unhappy,people stuff like unhappy,peopl stuff like unhappi,people stuff like unhappy,peopl stuff like unhappi,people stuff like unhappy
please just stop confining animals in zoos unhappy  ,negative,please just stop confining animals in zoos unhappy,please stop confining animals zoos unhappy,pleas stop confin anim zoo unhappi,please stop confining animal zoo unhappy,pleas stop confin anim zoo unhappi,please stop confining animal zoo unhappy
Feel like i shoyould be telling you to get the fuck out social media byout also feel really mean because unhappy  silence  love yoyou hope yoyoure okay ,negative,feel like shoyould be telling you to get the fuck out social media byout also feel really mean because unhappy silence love yoyou hope yoyoure okay,feel like shoyould telling get fuck social media byout also feel really mean unhappy silence love yoyou hope yoyoure okay,feel like shoyould tell get fuck social media byout also feel realli mean unhappi silenc love yoyou hope yoyour okay,feel like shoyould telling get fuck social medium byout also feel really mean unhappy silence love yoyou hope yoyoure okay,feel like shoyould tell get fuck social media byout also feel realli mean unhappi silenc love yoyou hope yoyour okay,feel like shoyould telling get fuck social medium byout also feel really mean unhappy silence love yoyou hope yoyoure okay
i miss you huhu so busy unhappy ,negative,miss you huhu so busy unhappy,miss huhu busy unhappy,miss huhu busi unhappi,miss huhu busy unhappy,miss huhu busi unhappi,miss huhu busy unhappy
it was extended family. 12 ppl.ahh wanted to show a Oh My Girl being dorky while playing a game but it got deleted unhappy ,negative,it was extended family pplahh wanted to show oh my girl being dorky while playing game but it got deleted unhappy,extended family pplahh wanted show oh girl dorky playing game got deleted unhappy,extend famili pplahh want show oh girl dorki play game got delet unhappi,extended family pplahh wanted show oh girl dorky playing game got deleted unhappy,extend famili pplahh want show oh girl dorki play game got delet unhappi,extended family pplahh wanted show oh girl dorky playing game got deleted unhappy
Don't do that unhappy ,negative,dont do that unhappy,dont unhappy,dont unhappi,dont unhappy,dont unhappi,dont unhappy
Jamie can you please reset the CGa grandfinal server... no administrator are responding unhappy ,negative,jamie can you please reset the cga grandfinal server no administrator are responding unhappy,jamie please reset cga grandfinal server administrator responding unhappy,jami pleas reset cga grandfin server administr respond unhappi,jamie please reset cga grandfinal server administrator responding unhappy,jami pleas reset cga grandfin server administr respond unhappi,jamie please reset cga grandfinal server administrator responding unhappy
noOoooooo YOU GONNA MISS THE BUFFET unhappy  TAKE CARE AIN!!!!!!!!!!!!!!!!! ,negative,noooooooo you gonna miss the buffet unhappy take care ain,noooooooo gonna miss buffet unhappy take care,noooooooo gonna miss buffet unhappi take care,noooooooo gonna miss buffet unhappy take care,noo gonna miss buffet unhappi take care,noo gonna miss buffet unhappy take care
I wish i could vote for you unhappy ,negative,wish could vote for you unhappy,wish could vote unhappy,wish could vote unhappi,wish could vote unhappy,wish could vote unhappi,wish could vote unhappy
instant message so jealous okay unhappy  but never mind haha bruno can wait finals first,negative,instant message so jealous okay unhappy but never mind haha bruno can wait finals first,instant message jealous okay unhappy never mind haha bruno wait finals first,instant messag jealou okay unhappi never mind haha bruno wait final first,instant message jealous okay unhappy never mind haha bruno wait final first,instant messag jealou okay unhappi never mind haha bruno wait final first,instant message jealous okay unhappy never mind haha bruno wait final first
when i'm enlisting can please turn up like this unhappy  ,negative,when im enlisting can please turn up like this unhappy,im enlisting please turn like unhappy,im enlist pleas turn like unhappi,im enlisting please turn like unhappy,im enlist pleas turn like unhappi,im enlisting please turn like unhappy
unhappy  how come people like this have children where's the state intervention ,negative,unhappy how come people like this have children wheres the state intervention,unhappy come people like children wheres state intervention,unhappi come peopl like children where state intervent,unhappy come people like child wheres state intervention,unhappi come peopl like children where state intervent,unhappy come people like child wheres state intervention
Ouchhhhh unhappy  ,negative,ouchhhhh unhappy,ouchhhhh unhappy,ouchhhhh unhappi,ouchhhhh unhappy,ouchh unhappi,ouchh unhappy
Help... I want to stop tweeting. All I feel is endless suffering and pain. I tried to deactivate myself many times... Save me... unhappy ,negative,help want to stop tweeting all feel is endless suffering and pain tried to deactivate myself many times save me unhappy,help want stop tweeting feel endless suffering pain tried deactivate many times save unhappy,help want stop tweet feel endless suffer pain tri deactiv mani time save unhappi,help want stop tweeting feel endless suffering pain tried deactivate many time save unhappy,help want stop tweet feel endless suffer pain tri deactiv mani time save unhappi,help want stop tweeting feel endless suffering pain tried deactivate many time save unhappy
For those asking,negative,for those asking,asking,ask,asking,ask,asking
 the application is Kana Kanji Funtime! Sadly,negative,the application is kana kanji funtime sadly,application kana kanji funtime sadly,applic kana kanji funtim sadli,application kana kanji funtime sadly,applic kana kanji funtim sadli,application kana kanji funtime sadly
 it looks like iOS 11 is due to kill it unhappy  ,negative,it looks like ios is due to kill it unhappy,looks like ios due kill unhappy,look like io due kill unhappi,look like io due kill unhappy,look like io due kill unhappi,look like io due kill unhappy
Yeah did update to 16.04 ,negative,yeah did update to,yeah update,yeah updat,yeah update,yeah updat,yeah update
 it froze a few times. Then went to 16.10,negative,it froze few times then went to,froze times went,froze time went,froze time went,froze time went,froze time went
 froze mid install. Waited 3hrs he'd to pull plug crying ,negative,froze mid install waited hrs hed to pull plug crying,froze mid install waited hrs hed pull plug crying,froze mid instal wait hr hed pull plug cri,froze mid install waited hr hed pull plug cry,froze mid instal wait hr hed pull plug cri,froze mid install waited hr hed pull plug cry
Shaandaar,negative,shaandaar,shaandaar,shaandaar,shaandaar,shaandaar,shaandaar
 Zabardast,negative,zabardast,zabardast,zabardast,zabardast,zabardast,zabardast
 Another ATBB on it's way ! I wish Srk Sir starts signing good movies unhappy  ,negative,another atbb on its way wish srk sir starts signing good movies unhappy,another atbb way wish srk sir starts signing good movies unhappy,anoth atbb way wish srk sir start sign good movi unhappi,another atbb way wish srk sir start signing good movie unhappy,anoth atbb way wish srk sir start sign good movi unhappi,another atbb way wish srk sir start signing good movie unhappy
I want Jabee crying ,negative,want jabee crying,want jabee crying,want jabe cri,want jabee cry,want jabe cri,want jabee cry
sociopath full raid gear sad  ,negative,sociopath full raid gear sad,sociopath full raid gear sad,sociopath full raid gear sad,sociopath full raid gear sad,sociopath full raid gear sad,sociopath full raid gear sad
When will you say hi sunshine ? unhappy  ,negative,when will you say hi sunshine unhappy,say hi sunshine unhappy,say hi sunshin unhappi,say hi sunshine unhappy,say hi sunshin unhappi,say hi sunshine unhappy
i feel bad for doing that AHAHA unhappy ,negative,feel bad for doing that ahaha unhappy,feel bad ahaha unhappy,feel bad ahaha unhappi,feel bad ahaha unhappy,feel bad ahaha unhappi,feel bad ahaha unhappy
it's getting harder and harder to stay unhappy ,negative,its getting harder and harder to stay unhappy,getting harder harder stay unhappy,get harder harder stay unhappi,getting harder harder stay unhappy,get harder harder stay unhappi,getting harder harder stay unhappy
His face looks bloated unhappy  baby get well soon ,negative,his face looks bloated unhappy baby get well soon,face looks bloated unhappy baby get well soon,face look bloat unhappi babi get well soon,face look bloated unhappy baby get well soon,face look bloat unhappi babi get well soon,face look bloated unhappy baby get well soon
fuck. tried changing my settings but still in india. unhappy ,negative,fuck tried changing my settings but still in india unhappy,fuck tried changing settings still india unhappy,fuck tri chang set still india unhappi,fuck tried changing setting still india unhappy,fuck tri chang set still india unhappi,fuck tried changing setting still india unhappy
talking to my over driver about where I'm goinghe said he'd love to go to New York too but since Trump it's probably not,negative,talking to my over driver about where im goinghe said hed love to go to new york too but since trump its probably not,talking driver im goinghe said hed love go new york since trump probably,talk driver im goingh said hed love go new york sinc trump probabl,talking driver im goinghe said hed love go new york since trump probably,talk driver im goingh said hed love go new york sinc trump probabl,talking driver im goinghe said hed love go new york since trump probably
Let's not forget that it's also Gabriel Tenma White's birthday today!I miss unhappy  ,negative,lets not forget that its also gabriel tenma whites birthday todayi miss unhappy,lets forget also gabriel tenma whites birthday todayi miss unhappy,let forget also gabriel tenma white birthday todayi miss unhappi,let forget also gabriel tenma white birthday todayi miss unhappy,let forget also gabriel tenma white birthday todayi miss unhappi,let forget also gabriel tenma white birthday todayi miss unhappy
Why am i always taken for granted eversince unhappy ,negative,why am always taken for granted eversince unhappy,always taken granted eversince unhappy,alway taken grant eversinc unhappi,always taken granted eversince unhappy,alway taken grant eversinc unhappi,always taken granted eversince unhappy
Ah alright,negative,ah alright,ah alright,ah alright,ah alright,ah alright,ah alright
 i don%27t know if you saw my comment yet,negative,dont know if you saw my comment yet,dont know saw comment yet,dont know saw comment yet,dont know saw comment yet,dont know saw comment yet,dont know saw comment yet
 but what camera you shooting with,negative,but what camera you shooting with,camera shooting,camera shoot,camera shooting,camera shoot,camera shooting
 does it have flip out scr ,negative,does it have flip out scr,flip scr,flip scr,flip scr,flip scr,flip scr
I miss Louis' tweets unhappy ,negative,miss louis tweets unhappy,miss louis tweets unhappy,miss loui tweet unhappi,miss louis tweet unhappy,miss loui tweet unhappi,miss louis tweet unhappy
Koalas are dying of thirst  and it's all because of us unhappy  ,negative,koalas are dying of thirst and its all because of us unhappy,koalas dying thirst us unhappy,koala die thirst us unhappi,koala dying thirst u unhappy,koala die thirst us unhappi,koala dying thirst u unhappy
okay I'll shut up now. instant message just mad that lots of people will now have a VERY flawed opinion on mental health ( on mine) because of this show unhappy ,negative,okay ill shut up now instant message just mad that lots of people will now have very flawed opinion on mental health on mine because of this show unhappy,okay ill shut instant message mad lots people flawed opinion mental health mine show unhappy,okay ill shut instant messag mad lot peopl flaw opinion mental health mine show unhappi,okay ill shut instant message mad lot people flawed opinion mental health mine show unhappy,okay ill shut instant messag mad lot peopl flaw opinion mental health mine show unhappi,okay ill shut instant message mad lot people flawed opinion mental health mine show unhappy
pamura isa because in this very moment,negative,pamura isa because in this very moment,pamura isa moment,pamura isa moment,pamura isa moment,pamura isa moment,pamura isa moment
 i want to explode like a grenade to the point where people will die with me. sad ,negative,want to explode like grenade to the point where people will die with me sad,want explode like grenade point people die sad,want explod like grenad point peopl die sad,want explode like grenade point people die sad,want explod like grenad point peopl die sad,want explode like grenade point people die sad
YG should have sent them to MCD. I want to see them holding the trophy unhappy  anyways ,negative,yg should have sent them to mcd want to see them holding the trophy unhappy anyways,yg sent mcd want see holding trophy unhappy anyways,yg sent mcd want see hold trophi unhappi anyway,yg sent mcd want see holding trophy unhappy anyways,yg sent mcd want see hold trophi unhappi anyway,yg sent mcd want see holding trophy unhappy anyways
i really want one of those iconic jimin stripes turtleneck shirt unhappy ,negative,really want one of those iconic jimin stripes turtleneck shirt unhappy,really want one iconic jimin stripes turtleneck shirt unhappy,realli want one icon jimin stripe turtleneck shirt unhappi,really want one iconic jimin stripe turtleneck shirt unhappy,realli want one icon jimin stripe turtleneck shirt unhappi,really want one iconic jimin stripe turtleneck shirt unhappy
I want a spoons but I cant go unhappy  honestly feels like a messy break up unhappy ,negative,want spoons but cant go unhappy honestly feels like messy break up unhappy,want spoons cant go unhappy honestly feels like messy break unhappy,want spoon cant go unhappi honestli feel like messi break unhappi,want spoon cant go unhappy honestly feel like messy break unhappy,want spoon cant go unhappi honestli feel like messi break unhappi,want spoon cant go unhappy honestly feel like messy break unhappy
Makes me so sad unhappy  they looked so unhappy when I went to SeaWorld ,negative,makes me so sad unhappy they looked so unhappy when went to seaworld,makes sad unhappy looked unhappy went seaworld,make sad unhappi look unhappi went seaworld,make sad unhappy looked unhappy went seaworld,make sad unhappi look unhappi went seaworld,make sad unhappy looked unhappy went seaworld
YG should have sent them to MCD. I want to see them holding the trophy unhappy  anyways ,negative,yg should have sent them to mcd want to see them holding the trophy unhappy anyways,yg sent mcd want see holding trophy unhappy anyways,yg sent mcd want see hold trophi unhappi anyway,yg sent mcd want see holding trophy unhappy anyways,yg sent mcd want see hold trophi unhappi anyway,yg sent mcd want see holding trophy unhappy anyways
I miss Rockys posts unhappy  ,negative,miss rockys posts unhappy,miss rockys posts unhappy,miss rocki post unhappi,miss rockys post unhappy,miss rocki post unhappi,miss rockys post unhappy
Hey Tony,negative,hey tony,hey tony,hey toni,hey tony,hey toni,hey tony
 oh no unhappy  Could you please tell me a little more about your issue? Im following if youd prefer to DM. Amanda,negative,oh no unhappy could you please tell me little more about your issue im following if youd prefer to dm amanda,oh unhappy could please tell little issue im following youd prefer dm amanda,oh unhappi could pleas tell littl issu im follow youd prefer dm amanda,oh unhappy could please tell little issue im following youd prefer dm amanda,oh unhappi could pleas tell littl issu im follow youd prefer dm amanda,oh unhappy could please tell little issue im following youd prefer dm amanda
i love mason and miss mason unhappy ,negative,love mason and miss mason unhappy,love mason miss mason unhappy,love mason miss mason unhappi,love mason miss mason unhappy,love mason miss mason unhappi,love mason miss mason unhappy
Cold as a mother crusher right now. Nearing the end of April. sad ,negative,cold as mother crusher right now nearing the end of april sad,cold mother crusher right nearing end april sad,cold mother crusher right near end april sad,cold mother crusher right nearing end april sad,cold mother crusher right near end april sad,cold mother crusher right nearing end april sad
we don%27t talk anymore like we used to do unhappy ,negative,we dont talk anymore like we used to do unhappy,dont talk anymore like used unhappy,dont talk anymor like use unhappi,dont talk anymore like used unhappy,dont talk anymor like use unhappi,dont talk anymore like used unhappy
YG should have sent them to MCD. I want to see them holding the trophy unhappy  anyways ,negative,yg should have sent them to mcd want to see them holding the trophy unhappy anyways,yg sent mcd want see holding trophy unhappy anyways,yg sent mcd want see hold trophi unhappi anyway,yg sent mcd want see holding trophy unhappy anyways,yg sent mcd want see hold trophi unhappi anyway,yg sent mcd want see holding trophy unhappy anyways
miss biking unhappy ,negative,miss biking unhappy,miss biking unhappy,miss bike unhappi,miss biking unhappy,miss bike unhappi,miss biking unhappy
I miss Big brother unhappy ,negative,miss big brother unhappy,miss big brother unhappy,miss big brother unhappi,miss big brother unhappy,miss big brother unhappi,miss big brother unhappy
6 days in camp haiss miss you a lot unhappy ,negative,days in camp haiss miss you lot unhappy,days camp haiss miss lot unhappy,day camp haiss miss lot unhappi,day camp haiss miss lot unhappy,day camp haiss miss lot unhappi,day camp haiss miss lot unhappy
It's raining so hard unhappy ,negative,its raining so hard unhappy,raining hard unhappy,rain hard unhappi,raining hard unhappy,rain hard unhappi,raining hard unhappy
Am bored and kandowiandg I have ando plaands for today is makiandg me eveand more bored unhappy ,negative,am bored and kandowiandg have ando plaands for today is makiandg me eveand more bored unhappy,bored kandowiandg ando plaands today makiandg eveand bored unhappy,bore kandowiandg ando plaand today makiandg eveand bore unhappi,bored kandowiandg ando plaands today makiandg eveand bored unhappy,bore kandowiandg ando plaand today makiandg eveand bore unhappi,bored kandowiandg ando plaands today makiandg eveand bored unhappy
oh my god not laurie penny unhappy ,negative,oh my god not laurie penny unhappy,oh god laurie penny unhappy,oh god lauri penni unhappi,oh god laurie penny unhappy,oh god lauri penni unhappi,oh god laurie penny unhappy
can you say Hi Mekisha? unhappy ,negative,can you say hi mekisha unhappy,say hi mekisha unhappy,say hi mekisha unhappi,say hi mekisha unhappy,say hi mekisha unhappi,say hi mekisha unhappy
I should never draw again unhappy ,negative,should never draw again unhappy,never draw unhappy,never draw unhappi,never draw unhappy,never draw unhappi,never draw unhappy
Cleantha ,negative,cleantha,cleantha,cleantha,cleantha,cleantha,cleantha
Visual Studio Installation - 89% .. BSOD comes suddenly unhappy ,negative,visual studio installation bsod comes suddenly unhappy,visual studio installation bsod comes suddenly unhappy,visual studio instal bsod come suddenli unhappi,visual studio installation bsod come suddenly unhappy,visual studio instal bsod come suddenli unhappi,visual studio installation bsod come suddenly unhappy
i want to make waffles unhappy ,negative,want to make waffles unhappy,want make waffles unhappy,want make waffl unhappi,want make waffle unhappy,want make waffl unhappi,want make waffle unhappy
So sad unhappy  ,negative,so sad unhappy,sad unhappy,sad unhappi,sad unhappy,sad unhappi,sad unhappy
crying  muh feels,negative,crying muh feels,crying muh feels,cri muh feel,cry muh feel,cri muh feel,cry muh feel
Look like somethings i will ignore xD Kart Racing when? unhappy ,negative,look like somethings will ignore xd kart racing when unhappy,look like somethings ignore xd kart racing unhappy,look like someth ignor xd kart race unhappi,look like somethings ignore xd kart racing unhappy,look like someth ignor xd kart race unhappi,look like somethings ignore xd kart racing unhappy
did ate jenna just blocked me or what? unhappy ,negative,did ate jenna just blocked me or what unhappy,ate jenna blocked unhappy,ate jenna block unhappi,ate jenna blocked unhappy,ate jenna block unhappi,ate jenna blocked unhappy
My bed is so comfortable I don't want to get up unhappy ,negative,my bed is so comfortable dont want to get up unhappy,bed comfortable dont want get unhappy,bed comfort dont want get unhappi,bed comfortable dont want get unhappy,bed comfort dont want get unhappi,bed comfortable dont want get unhappy
Is that store still in use? If so,negative,is that store still in use if so,store still use,store still use,store still use,store still use,store still use
 I sincerely hope not too many priceless antiques were destroyed. Reg ,negative,sincerely hope not too many priceless antiques were destroyed reg,sincerely hope many priceless antiques destroyed reg,sincer hope mani priceless antiqu destroy reg,sincerely hope many priceless antique destroyed reg,sincer hope mani priceless antiqu destroy reg,sincerely hope many priceless antique destroyed reg
Astaga unhappy  /? ,negative,astaga unhappy,astaga unhappy,astaga unhappi,astaga unhappy,astaga unhappi,astaga unhappy
I want a puppy now unhappy ,negative,want puppy now unhappy,want puppy unhappy,want puppi unhappi,want puppy unhappy,want puppi unhappi,want puppy unhappy
have to work unhappy  but i'll see you tomorrow!! ,negative,have to work unhappy but ill see you tomorrow,work unhappy ill see tomorrow,work unhappi ill see tomorrow,work unhappy ill see tomorrow,work unhappi ill see tomorrow,work unhappy ill see tomorrow
happy weed day without them is not the same anymore unhappy ,negative,happy weed day without them is not the same anymore unhappy,happy weed day without anymore unhappy,happi weed day without anymor unhappi,happy weed day without anymore unhappy,happi weed day without anymor unhappi,happy weed day without anymore unhappy
my favourite lipstick hilang crying ,negative,my favourite lipstick hilang crying,favourite lipstick hilang crying,favourit lipstick hilang cri,favourite lipstick hilang cry,favourit lipstick hilang cri,favourite lipstick hilang cry
Time just flies,negative,time just flies,time flies,time fli,time fly,time fli,time fly
 can't believe he will be year for next year unhappy  We're becoming old HAHAHAH :v,negative,cant believe he will be year for next year unhappy were becoming old hahahah,cant believe year next year unhappy becoming old hahahah,cant believ year next year unhappi becom old hahahah,cant believe year next year unhappy becoming old hahahah,cant believ year next year unhappi becom old hahahah,cant believe year next year unhappy becoming old hahahah
The new Twitter reply view has me confused... like do I capitalise my replies to people or not? unhappy ,negative,the new twitter reply view has me confused like do capitalise my replies to people or not unhappy,new twitter reply view confused like capitalise replies people unhappy,new twitter repli view confus like capitalis repli peopl unhappi,new twitter reply view confused like capitalise reply people unhappy,new twitter repli view confus like capitalis repli peopl unhappi,new twitter reply view confused like capitalise reply people unhappy
Whaddup. Me too crying ,negative,whaddup me too crying,whaddup crying,whaddup cri,whaddup cry,whaddup cri,whaddup cry
unhappy  every time laughing my ass off,negative,unhappy every time laughing my ass off,unhappy every time laughing ass,unhappi everi time laugh ass,unhappy every time laughing as,unhappi everi time laugh ass,unhappy every time laughing as
who's selling an army bomb ver 2??? meet up on sad ,negative,whos selling an army bomb ver meet up on sad,whos selling army bomb ver meet sad,who sell armi bomb ver meet sad,who selling army bomb ver meet sad,who sell armi bomb ver meet sad,who selling army bomb ver meet sad
Yeesh unhappy  It's fairly warm here.,negative,yeesh unhappy its fairly warm here,yeesh unhappy fairly warm,yeesh unhappi fairli warm,yeesh unhappy fairly warm,yeesh unhappi fairli warm,yeesh unhappy fairly warm
easter has flown unhappy  I'm not ready to give up home luxuries like branded cereal,negative,easter has flown unhappy im not ready to give up home luxuries like branded cereal,easter flown unhappy im ready give home luxuries like branded cereal,easter flown unhappi im readi give home luxuri like brand cereal,easter flown unhappy im ready give home luxury like branded cereal,easter flown unhappi im readi give home luxuri like brand cereal,easter flown unhappy im ready give home luxury like branded cereal
Ohnoo unhappy  unhappy  hope it recuperates sooner!!,negative,ohnoo unhappy unhappy hope it recuperates sooner,ohnoo unhappy unhappy hope recuperates sooner,ohnoo unhappi unhappi hope recuper sooner,ohnoo unhappy unhappy hope recuperates sooner,ohnoo unhappi unhappi hope recuper sooner,ohnoo unhappy unhappy hope recuperates sooner
Her back unhappy  ,negative,her back unhappy,back unhappy,back unhappi,back unhappy,back unhappi,back unhappy
give me a chance in west server unhappy ,negative,give me chance in west server unhappy,give chance west server unhappy,give chanc west server unhappi,give chance west server unhappy,give chanc west server unhappi,give chance west server unhappy
but you were going to do it yesterday unhappy ,negative,but you were going to do it yesterday unhappy,going yesterday unhappy,go yesterday unhappi,going yesterday unhappy,go yesterday unhappi,going yesterday unhappy
I agree. My issue would be that it all has to be paid for somehow. I just can't see the numbers adding up. sad ,negative,agree my issue would be that it all has to be paid for somehow just cant see the numbers adding up sad,agree issue would paid somehow cant see numbers adding sad,agre issu would paid somehow cant see number ad sad,agree issue would paid somehow cant see number adding sad,agre issu would paid somehow cant see number ad sad,agree issue would paid somehow cant see number adding sad
I want to drink with cigarettes unhappy ,negative,want to drink with cigarettes unhappy,want drink cigarettes unhappy,want drink cigarett unhappi,want drink cigarette unhappy,want drink cigarett unhappi,want drink cigarette unhappy
Oh mince unhappy ,negative,oh mince unhappy,oh mince unhappy,oh minc unhappi,oh mince unhappy,oh minc unhappi,oh mince unhappy
The manifesto,negative,the manifesto,manifesto,manifesto,manifesto,manifesto,manifesto
 Nick? Might he deliver WHEN the time demands it. Story of his life - ,negative,nick might he deliver when the time demands it story of his life,nick might deliver time demands story life,nick might deliv time demand stori life,nick might deliver time demand story life,nick might deliv time demand stori life,nick might deliver time demand story life
It's okay I've accepted you the way you are unhappy ,negative,its okay ive accepted you the way you are unhappy,okay ive accepted way unhappy,okay ive accept way unhappi,okay ive accepted way unhappy,okay ive accept way unhappi,okay ive accepted way unhappy
why do people abuse animals unhappy  they're so loyal,negative,why do people abuse animals unhappy theyre so loyal,people abuse animals unhappy theyre loyal,peopl abus anim unhappi theyr loyal,people abuse animal unhappy theyre loyal,peopl abus anim unhappi theyr loyal,people abuse animal unhappy theyre loyal
i'm actually crying while typing this tweet i just can't take it anymore.. not applicablehulog not applicable knock out d unhappy ,negative,im actually crying while typing this tweet just cant take it anymore not applicablehulog not applicable knock out unhappy,im actually crying typing tweet cant take anymore applicablehulog applicable knock unhappy,im actual cri type tweet cant take anymor applicablehulog applic knock unhappi,im actually cry typing tweet cant take anymore applicablehulog applicable knock unhappy,im actual cri type tweet cant take anymor applicablehulog applic knock unhappi,im actually cry typing tweet cant take anymore applicablehulog applicable knock unhappy
imagine if he wins next time too unhappy  unhappy ,negative,imagine if he wins next time too unhappy unhappy,imagine wins next time unhappy unhappy,imagin win next time unhappi unhappi,imagine win next time unhappy unhappy,imagin win next time unhappi unhappi,imagine win next time unhappy unhappy
Same unhappy ,negative,same unhappy,unhappy,unhappi,unhappy,unhappi,unhappy
